name,price,deal,shop_name,location,url
雅诗兰黛DW沁水粉底液1W2持妆遮瑕控油持久保湿不脱妆油皮亲妈1W1,169.00,2000+人付款,cliv001,广东 深圳,https://item.taobao.com/item.htm?id=656758634327&ns=1&abbucket=3#detail
雅诗兰黛DW粉底液遮瑕控油保湿持久白金沁水油皮亲妈保湿粉底液,239.00,2000+人付款,feiyizi,香港 新界,https://item.taobao.com/item.htm?id=638652397344&ns=1&abbucket=3#detail
㊣雅诗兰黛dw持妆粉底液1w1沁水遮瑕保湿控油持久不脱妆油皮养肤,279.00,1000+人付款,chenkoala88,香港 香港岛,https://item.taobao.com/item.htm?id=651348470015&ns=1&abbucket=3#detail
专柜正品兰蔻新薄纱持妆粉底液Po01 Po03 b-01 bo-03遮瑕保湿持久,258.00,1000+人付款,tb979845339,广东 深圳,https://item.taobao.com/item.htm?id=625166655365&ns=1&abbucket=3#detail
【双11自播间专属】YSL恒颜无瑕恒久粉底液自然哑光遮瑕持妆 z,600.00,8000+人付款,ysl圣罗兰美妆官方旗舰店,江苏 苏州,https://detail.tmall.com/item.htm?id=628761970310&ns=1&abbucket=3
阿玛尼权利权力粉底液power fabric遮瑕油皮干皮纯净持久红标正品,297.00,1000+人付款,zhs252898484,上海,https://item.taobao.com/item.htm?id=649826954807&ns=1&abbucket=3#detail
MAC魅可定制无暇粉底液遮瑕控油高持久奶油肌 N18 NC12 N12防晒,155.00,2000+人付款,阿飞_1219,上海,https://item.taobao.com/item.htm?id=634688753134&ns=1&abbucket=3#detail
小猪姐姐！zelens养fu滋润光泽粉底液光泽肌肤水光奶油肌轻薄裸妆,299.00,1000+人付款,月光之凤尾竹,江苏 淮安,https://item.taobao.com/item.htm?id=549419833831&ns=1&abbucket=3#detail
Lancome兰蔻菁纯气垫bb精华新版粉底液100 110替换芯遮瑕保湿持久,385.00,800+人付款,毛小咪vs小晶,江苏 南京,https://item.taobao.com/item.htm?id=627504728794&ns=1&abbucket=3#detail
现货 停产啦巨大折扣 SUQQU老款奶油粉底霜002 润润奶油肌,295.00,1000+人付款,热情的火鸟84121,上海,https://item.taobao.com/item.htm?id=654035431481&ns=1&abbucket=3#detail
【预售盛典】LA PRAIRIE莱珀妮粉底乳液SPF15遮瑕膏 粉底液,2180.00,,莱珀妮官方旗舰店,浙江 嘉兴,https://detail.tmall.com/item.htm?id=630641682270&ns=1&abbucket=3
【抢先付定金】娇兰金钻修颜粉底液30ml保湿持妆干皮金璨防晒,750.00,3000+人付款,guerlain娇兰官方旗舰店,上海,https://detail.tmall.com/item.htm?id=537574170700&ns=1&abbucket=3
【入店必买】Blank ME全时段骑士粉霜遮瑕养肤持妆粉底液油痘肌,389.00,800+人付款,blankme海外旗舰店,浙江 宁波,https://detail.tmall.com/item.htm?id=640143343597&ns=1&abbucket=3
卡姿兰粉底液持久不脱妆遮瑕保湿bb霜女混油皮干皮小奶猫官方正品,109.00,3000+人付款,卡姿兰丽尚专卖店,广东 广州,https://detail.tmall.com/item.htm?id=645933480987&ns=1&abbucket=3
雅诗兰黛DW粉底液沁水新白金遮瑕控油持久保湿不脱妆轻薄油皮亲妈,270.00,1000+人付款,阿飞_1219,上海,https://item.taobao.com/item.htm?id=631408069553&ns=1&abbucket=3#detail
